Variable,Value
RFshockDefl,0.013731255196034908
RFshockDefl_ST,"[0.013731623068451881, 0.01373151782900095, 0.013731255196034908, 0.01373120304197073, 0.01373120304197073, 0.013731255196034908]"
RFshockVel,1.4631615158577915e-05
RFshockVel_ST,"[-3.2289510272676125e-05, -6.658169149886817e-05, -4.382909173727967e-05, -1.164228069683304e-05, 7.291464498848654e-06, 1.4631615158577915e-05]"
RFtempCL,48.77716064453125
RFtempCM,48.77716064453125
RFtempCR,48.77716064453125
RFTiresAvailable,1
RFTiresUsed,1
RFwearL,1.0
RFwearM,1.0
RFwearR,1.0
RightTireSetsAvailable,1
RightTireSetsUsed,1
Roll,0.004943500738590956
RollRate,-4.746375634567812e-05
RollRate_ST,"[4.905855894321576e-05, -6.805252894537261e-08, -4.077237463206984e-05, -5.253027848084457e-05, -5.349935236154124e-05, -4.746375634567812e-05]"
RPM,1549.9996337890625
RRbrakeLinePress,0.0
RRcoldPressure,151.6060028076172
RRshockDefl,0.01986304111778736
RRshockDefl_ST,"[0.01986275427043438, 0.01986287720501423, 0.01986304111778736, 0.019863082095980644, 0.019863082095980644, 0.01986304111778736]"
RRshockVel,-2.6220024665235542e-05
RRshockVel_ST,"[3.291596658527851e-05, 5.1031744078500196e-05, 3.611057036323473e-05, 9.949740160664078e-06, -1.0846140867215581e-05, -2.6220024665235542e-05]"
RRtempCL,48.77093505859375
RRtempCM,48.77093505859375
RRtempCR,48.77093505859375
RRTiresAvailable,1
RRTiresUsed,1
RRwearL,1.0
RRwearM,1.0
RRwearR,1.0
SessionFlags,269746688
SessionJokerLapsRemain,0
SessionLapsRemain,32767
SessionLapsRemainEx,32767
SessionLapsTotal,32767
SessionNum,0
SessionOnJokerLap,False
SessionState,4
SessionTick,35794
SessionTime,595.2833332059639
SessionTimeOfDay,10800.0
SessionTimeRemain,604800.0
SessionTimeTotal,604800.0
SessionUniqueID,1
ShiftGrindRPM,0.0
ShiftIndicatorPct,0.0
ShiftPowerPct,0.0
Skies,3
SolarAltitude,-0.3754030466079712
SolarAzimuth,0.3532547950744629
Speed,0.00015998831077013165
SteeringWheelAngle,-4.309169292449951
SteeringWheelAngleMax,9.425466537475586
SteeringWheelLimiter,0.0
SteeringWheelMaxForceNm,41.56922149658203
SteeringWheelPctDamper,0.0
SteeringWheelPctIntensity,0.5
SteeringWheelPctSmoothing,0.0
SteeringWheelPctTorque,0.032112736254930496
SteeringWheelPctTorqueSign,0.032112736254930496
SteeringWheelPctTorqueSignStops,0.01059798989444971
SteeringWheelPeakForceNm,-1.0
SteeringWheelTorque,1.3349014520645142
SteeringWheelTorque_ST,"[1.3424040079116821, 1.3400951623916626, 1.3355175256729126, 1.3332043886184692, 1.333595633506775, 1.3349014520645142]"
SteeringWheelUseLinear,True
Throttle,0.0
ThrottleRaw,0.0
TireLF_RumblePitch,0.0
TireLR_RumblePitch,0.0
TireRF_RumblePitch,0.0
TireRR_RumblePitch,0.0
TireSetsAvailable,1
TireSetsUsed,1
TrackTemp,18.888885498046875
TrackTempCrew,18.888885498046875
TrackWetness,0
VelocityX,0.00015814277867320925
VelocityX_ST,"[-1.6113795936689712e-05, -0.0002566807088442147, -0.00027999066514894366, -0.0001236784300999716, 2.2018548406776972e-05, 0.00015814277867320925]"
VelocityY,2.423053592792712e-05
VelocityY_ST,"[-7.16218346497044e-05, -4.390309186419472e-05, -2.6919576612272067e-06, 7.42625570637756e-06, 1.6276968381134793e-05, 2.423053592792712e-05]"
VelocityZ,1.3313210729393177e-06
VelocityZ_ST,"[1.5370035271189408e-06, 7.128255674615502e-07, -1.4397824088518973e-07, 1.120875481319672e-07, 7.113991387086571e-07, 1.3313210729393177e-06]"
VertAccel,9.806671142578125
VertAccel_ST,"[9.806330680847168, 9.806150436401367, 9.806139945983887, 9.806539535522461, 9.806663513183594, 9.806671142578125]"
VidCapActive,False
VidCapEnabled,False
Voltage,13.40000057220459
WaterLevel,7.0
WaterTemp,78.82640075683594
WeatherDeclaredWet,False
WindDir,0.0
WindVel,0.8940799832344055
Yaw,-1.4236836433410645
YawNorth,2.994480609893799
